CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
"488","41860","41860","San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Berkeley, CA Metro Area",M1,"1",G3110,"6398174793","2475529965","+37.7737185","-122.2744317"
"488","41940","41940","San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area",M1,"1",G3110,"6940483804","38315150","+36.9084718","-121.3713721"
,"42020","42020","San Luis Obispo-Paso Robles, CA","San Luis Obispo-Paso Robles, CA Metro Area",M1,"1",G3110,"8549172832","815618272","+35.3881891","-120.4488974"
"488","42100","42100","Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area",M1,"1",G3110,"1152823584","419714230","+37.0123466","-122.0077889"
"488","42220","42220","Santa Rosa-Petaluma, CA","Santa Rosa-Petaluma, CA Metro Area",M1,"1",G3110,"4080862341","498084088","+38.5251824","-122.9261095"
,"42200","42200","Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area",M1,"1",G3110,"7080860393","2729213352","+34.5366774","-120.0383645"
,"43760","43760","Sonora, CA","Sonora, CA Micro Area",M2,"2",G3110,"5752133237","138668837","+38.0214344","-119.9647335"
"488","44700","44700","Stockton, CA","Stockton, CA Metro Area",M1,"1",G3110,"3606222502","89027654","+37.9349815","-121.2722440"
,"45000","45000","Susanville, CA","Susanville, CA Micro Area",M2,"2",G3110,"11762017378","463024232","+40.7152866","-120.6212225"
"472","46020","46020","Truckee-Grass Valley, CA","Truckee-Grass Valley, CA Micro Area",M2,"2",G3110,"2480587302","41531993","+39.2975082","-120.7713429"
,"46300","46300","Twin Falls, ID","Twin Falls, ID Metro Area",M1,"1",G3110,"6524835821","30979592","+42.4403972","-114.5687294"
,"46380","46380","Ukiah, CA","Ukiah, CA Micro Area",M2,"2",G3110,"9082632466","961740401","+39.4323876","-123.4428811"
"488","46700","46700","Vallejo, CA","Vallejo, CA Metro Area",M1,"1",G3110,"2128527683","218619356","+38.2672255","-121.9395940"
,"47300","47300","Visalia, CA","Visalia, CA Metro Area",M1,"1",G3110,"12493840855","37260863","+36.2288339","-118.7810551"
,"49080","49080","Winnemucca, NV","Winnemucca, NV Micro Area",M2,"2",G3110,"24969535443","44194837","+41.4079136","-118.1275915"
